Consumer Name	ID	Account Number	Account Type	R&T Number	Amount	Description/Addenda	Debits/ Credits	Hold
CustomerName: 2365524	340	179892716	Checking	123123123	3.5	addenda record: 4581115                                                         	C	No
CustomerName: 2112669	428	496381540	Checking	051050009	2.8	addenda record: 426506                                                          	C	No
CustomerName: 8134888	154	444068594	Checking	053208037	4.4	addenda record: 6796303                                                         	C	No
CustomerName: 6305355	346	357713174	Checking	221971293	3.5	addenda record: 3486846                                                         	C	No
CustomerName: 4476778	315	207936366	Checking	051050009	1.1	addenda record: 3820438                                                         	C	No
CustomerName: 783569	354	202668058	Checking	021000128	2.5	addenda record: 291901                                                          	C	No
CustomerName: 5719035	268	224924229	Checking	322284928	3.4	addenda record: 1416646                                                         	C	No
CustomerName: 5425157	517	366889764	Checking	272477694	3	addenda record: 8372418                                                         	C	No
CustomerName: 3741292	336	282577807	Checking	051402961	2.4	addenda record: 2430241                                                         	C	No
CustomerName: 9725470	251	526916731	Checking	021000128	3.6	addenda record: 7458965                                                         	C	No
CustomerName: 635143	461	722869426	Checking	021000128	1.1	addenda record: 655423                                                          	C	No
CustomerName: 2178596	499	422359427	Checking	114900685	4.6	addenda record: 4028729                                                         	C	No
CustomerName: 5881327	143	396437993	Checking	051050009	4.7	addenda record: 6535651                                                         	C	No
CustomerName: 6988771	480	536298633	Checking	322284928	3.6	addenda record: 6633315                                                         	C	No
CustomerName: 5464837	474	146117874	Checking	051402961	3.8	addenda record: 3834654                                                         	C	No
CustomerName: 2554057	425	740046383	Checking	053208037	1.3	addenda record: 1598431                                                         	C	No
CustomerName: 8413794	204	841596420	Checking	051000253	3.6	addenda record: 3938049                                                         	C	No
CustomerName: 4177978	216	324463101	Checking	114900685	4.8	addenda record: 2021703                                                         	C	No
CustomerName: 1260694	374	793258245	Checking	322284928	3.9	addenda record: 1606066                                                         	C	No
CustomerName: 5050576	620	423835017	Checking	053000196	3.2	addenda record: 9167661                                                         	C	No
CustomerName: 9654690	335	653155717	Checking	272477694	1.4	addenda record: 3102060                                                         	C	No
CustomerName: 4967549	547	447774232	Checking	123123123	3.4	addenda record: 8907296                                                         	C	No
CustomerName: 8640799	241	179113338	Checking	053208037	3.6	addenda record: 7160852                                                         	C	No
CustomerName: 5131686	423	751581533	Checking	272477694	3.1	addenda record: 7369001                                                         	C	No
